0.7,230000,14.5,1.1,3.44607735,6.7617197
0.7,230000,14.5,0.8,3.45806289,4.69563818
0.7,230000,14.4,1.1,3.47651577,3.26085973
0.7,230000,15,1.1,3.5031569,6.7617197
0.6,230000,14.8,0.8,3.50851488,3.91303182
0.6,230000,14.2,1,3.52250552,4.69563818
0.7,230000,14.8,1.1,3.52280521,4.69563818
0.7,230000,14.2,1.1,3.53332567,5.6347661
0.7,230000,14.3,1.1,3.54240584,3.91303182
0.7,230000,14.5,0.7,3.58507609,5.6347661
0.7,230000,14.1,1.1,3.61462545,3.91303182
0.7,230000,14.6,1.1,3.61716676,3.91303182
0.7,230000,14.7,1.1,3.63750315,4.69563818
0.7,220000,14.5,1.1,3.6506896,5.6347661
0.7,220000,14.2,1.1,3.66997027,4.69563818
0.7,220000,14.7,1.1,3.67002606,5.6347661
0.7,230000,14.4,0.9,3.69012856,3.91303182
0.7,230000,14.6,0.7,3.6906004,5.6347661
0.7,220000,14.6,0.8,3.70268893,8.11406422
0.7,220000,14.5,0.7,3.71468949,6.7617197
0.7,230000,14.6,0.9,3.72711396,3.26085973
0.6,230000,14.4,1.1,3.73518133,4.69563818
0.7,230000,14.1,1,3.73907685,5.6347661
0.7,220000,14.1,1.1,3.73997045,6.7617197
0.7,230000,14.4,1,3.74095368,3.91303182
0.7,230000,14.7,0.8,3.74147415,4.69563818
0.7,230000,14.9,0.8,3.74964333,5.6347661
0.7,230000,14.6,0.8,3.76674151,3.26085973
0.7,230000,14.4,0.8,3.76852679,4.69563818
0.7,220000,14.4,0.7,3.76923609,4.69563818
0.7,220000,14.3,1.1,3.78038239,4.69563818
0.5,230000,14.1,0.8,3.7895565,4.69563818
0.6,230000,14.8,1.1,3.79241967,5.6347661
0.6,230000,14.9,1.1,3.79765105,3.91303182
0.7,230000,14.4,0.7,3.7979784,3.91303182
0.6,230000,14.9,0.9,3.81501842,5.6347661
0.7,220000,14.6,1.1,3.81640363,4.69563818
0.7,220000,14.3,1,3.82185841,4.69563818
0.6,230000,14.5,1,3.8221252,3.26085973
0.7,230000,14.3,0.9,3.82596827,4.69563818
0.6,230000,14.1,0.9,3.83044052,3.91303182
0.7,230000,14.2,0.7,3.84249759,4.69563818
0.7,220000,14.2,1,3.84276128,5.6347661
0.7,220000,14.5,0.9,3.8453846,5.6347661
0.6,230000,14.3,1,3.84557915,3.91303182
0.7,230000,14.3,1,3.84755731,3.91303182
0.6,230000,15,1.1,3.85301471,4.69563818
0.7,230000,14.9,1.1,3.8535769,4.69563818
0.7,230000,14.8,0.9,3.8577795,3.91303182
0.5,230000,14.5,0.6,3.85947156,3.91303182
0.7,220000,14.2,0.7,3.86076999,6.7617197
0.6,220000,14.3,1.1,3.86675,6.7617197
0.6,220000,14.1,1.1,3.86808586,5.6347661
0.7,230000,14.5,0.5,3.87122774,5.6347661
0.7,230000,14.2,0.8,3.87198067,3.91303182
0.7,230000,14.1,0.8,3.87578988,4.69563818
0.5,230000,14.6,0.6,3.87836075,3.91303182
0.6,230000,14.1,1,3.88115811,3.26085973
0.7,220000,15,0.8,3.88195467,3.91303182
0.5,220000,14.5,0.6,3.88662457,4.69563818
0.6,230000,14.7,1,3.88912678,4.69563818
0.7,230000,14.9,0.9,3.89126492,3.91303182
0.6,230000,14.4,1,3.89152718,3.91303182
0.6,230000,14.3,0.9,3.89723563,3.91303182
0.7,220000,14.1,1,3.90067387,3.91303182
0.7,230000,14.7,0.6,3.90112782,3.91303182
0.6,230000,14.9,1,3.90407944,6.7617197
0.6,230000,15,0.8,3.90489125,4.69563818
